player,sens,edpi
stax,0.43,172.0
steady,0.68,272.0
steel,0.5,400.0
stellar,0.35,280.0
stev0rr,0.24,192.0
sturNN,0.37,296.0
Sully,0.28,504.0
summertime,0.075,120.0
summoNN,0.27,216.0
SungJin,0.32,256.0
SuperBusS,0.29,232.0
Surf,0.375,300.0
swagg,0.4,320.0
sword9,0.55,440.0
Sylva,0.23,184.0
sym,0.33,264.0
szoren,0.27,216.0
TENNN,0.265,212.0
Tag,0.18,288.0
takej,0.435,174.0
Tarathiel,0.6,480.0
tatzuki,0.3,240.0
tdawgg,0.185,296.0
TeNma,0.45,180.0
tellfeenzo,0.531,318.6
Tempz,0.16,256.0
TenZ,0.173,276.8
Tenker,0.31,248.0
tenzki,1.9,760.0
tex,0.314,251.2
Theory,0.11,176.0
Tian,0.314,314.0
tinchoff,1.082,432.8
Tio,0.971,388.4
Tkaz,0.25,200.0
tok1o,0.13,208.0
tomaszy,0.63,252.0
tomatte,0.22,176.0
trent,0.155,744.0
trexx,0.226,180.8
troublemaker,0.15,240.0
TugaTV,0.215,172.0
Turbo,0.3,240.0
Turko,0.6,240.0
tuyz,0.32,256.0
TwoPotz,0.35,280.0
UNCAGED,0.36,288.0
UNNSTO,0.4,320.0
VARES,0.346,276.8
vaLi,0.26,208.0
vanity,0.244,195.2
Varlas,0.16,128.0
vicious,0.78,312.0
vickt0r,0.4,160.0
Victor,0.283,226.4
Vince,0.23,184.0
vity,0.35,280.0
Vivii,0.53,212.0
Vivik,0.215,344.0
Vlady,0.25,200.0
vo0kashu,0.211,168.8
Vossu,0.28,224.0
W1nner,0.45,360.0
WANHEDA,0.31,248.0
WKN,0.32,256.0
Waltz,0.44,176.0
Wanted,0.254,203.2
Wardell,0.653,261.2
Wavy,0.324,259.2
